name,resource_type,neighborhood,affordability,Latitude,Longitude
ACRS Food Bank and Meals,food-bank,Seattle,free,47.5843633,-122.3303783
Club Bamboo and Hmong Senior Club,cultural-foods,Seattle,free,47.570897,-122.2973881
Duoc Su Senior Nutrition Program,cultural-foods,Seattle,free,47.5400001,-122.2803173
Friendly Island of Tonga Seniors,cultural-foods,Seattle,free,47.546979,-122.3922666
Korean Senior Club Miller Community Center,cultural-foods,Central District,free,47.6219158,-122.3069784
Filipino Community of Seattle,cultural-foods,Seattle,free,47.5500465,-122.2871358
Seattle Korean Elders Association Center Park,cultural-foods,Seattle,free,47.5842083,-122.2996639
Vietnamese Senior Association Garfield Community Center,cultural-foods,Central District,free,47.6076951,-122.3021127
Atrium Kitchen,free-meal,Seattle,free,47.608632,-122.3401409
Aurora Commons,free-meal,Ballard,free,47.6938816,-122.3442384
Ballard Food Bank,food-bank,Seattle,free,47.66404713,-122.3740701
Bethany Food Bank at Green Lake,food-bank,Ballard,free,47.6873209,-122.3411453
First United Methodist Church of Seattle,food-bank,Capitol Hill,free,47.6664368,-122.3190289
Bread of Life Mission,free-meal,Seattle,free,47.5999268,-122.334605
The Market,food-bank,Central District,free,47.6088532,-122.3085629
Peter Kirk Community Center,free-meal,Seattle,free,47.67621,-122.201035
Phoenix Center,free-meal,Seattle,free,47.5822614,-122.3015923
All Pilgrims Christian Church,free-meal,Seattle,free,47.623387,-122.320142
All Pilgrims Christian Church,free-meal,Seattle,free,47.6233603,-122.3203773
El Centro de la Raza,food-bank,Seattle,free,47.5805157,-122.3113797
The Giving Room,food-bank,Ballard,free,47.7052676,-122.3416573
Eritrean Association in Greater Seattle,food-bank,Seattle,free,47.58918453,-122.3072811
Greenwood Food Bank - Hope Market,food-bank,Ballard,free,47.6984899,-122.3557886
Wallingford Food Bank,food-bank,Capitol Hill,free,47.6597609,-122.3444542
Filipino Community of Seattle Meals and Food Bank,food-bank,Seattle,free,47.5500465,-122.2871358
Eritrean Association in Greater Seattle,cultural-foods,Seattle,free,47.5888499,-122.3070989
First Covenant Church,free-meal,Seattle,free,47.6142392,-122.3263239
First United Methodist Church of Seattle,free-meal,Seattle,free,47.6188068,-122.3531962
Occidental Park,free-meal,Seattle,free,47.6000475,-122.3328885
Frelard Tamales,free-meal,Capitol Hill,free,47.6756763,-122.3252185
Cedarvale Village,free-meal,Seattle,free,47.710233,-122.3201755
Lake City Court,free-meal,Seattle,free,47.720291,-122.291805
Farmers Market at Lake City Community Center,free-meal,Seattle,free,47.7197784,-122.2975849
Bella-B Mobile Park Home,free-meal,Ballard,free,47.7191339,-122.3410813
Jackson Park Community Building,free-meal,Seattle,free,47.733508,-122.29595
Immanuel Community Services Food Bank and Community Lunch,food-bank,Seattle,free,47.6206572,-122.3321098
Polack Food Bank,food-bank,Central District,free,47.6155896,-122.3118419
Musang Community Kitchen,free-meal,Seattle,free,47.5803727,-122.3127166
Bitter Lake Food Bank,food-bank,Seattle,free,47.7242235,-122.3472592
Lake City Food Bank,food-bank,Seattle,free,47.7223248,-122.2918447
SODO Community Market,food-bank,Seattle,free,47.5855714,-122.3295651
University Heights Center,free-meal,Capitol Hill,free,47.666133,-122.3137458
Operation Nightwatch Shelter Dispatch Center,free-meal,Seattle,free,47.5998571,-122.3137564
Compass Housing,free-meal,Seattle,free,47.60104542,-122.3353162
Food Bank,food-bank,Seattle,free,47.5344477,-122.3524692
Hunger Intervention Program - Lake City Community Center,free-meal,Seattle,free,47.7203524,-122.2981048
St. Martin's On Westlake,free-meal,Seattle,free,47.6155497,-122.3375982
Phinney Ridge Food Bank,food-bank,Ballard,free,47.6835063,-122.3547797
Pike Market Senior Center,food-bank,Seattle,free,47.608886,-122.342051
Pike Market Senior Center,free-meal,Seattle,free,47.6084268,-122.3405616
Central Seattle,food-bank,Seattle,free,47.5374953,-122.2809353
Prison Scholar Fund,food-bank,Seattle,free,47.669121,-122.381152
Puget Sound Labor Agency Food Bank,food-bank,Seattle,free,47.5546964,-122.3291893
Ravenna PopUp Kitchen,free-meal,Capitol Hill,free,47.675803,-122.320245
South Lake Union,free-meal,Seattle,free,47.618348,-122.3346308
Friday Feast,free-meal,Capitol Hill,free,47.6592588,-122.3124319
Roots Young Adult Shelter,free-meal,Capitol Hill,free,47.6624222,-122.3076074
Queen Anne Food Bank and Meals,food-bank,Seattle,free,47.6206989,-122.3537259
Salvation Army White Center,food-bank,Seattle,free,47.5215741,-122.3547065
Emergency Meals and Food Bank,food-bank,Seattle,free,47.5959979,-122.3254326
Georgetown Food Bank,food-bank,Seattle,free,47.5486194,-122.3291318
